mahanhchinh,ten,dientich,danso
10183,Thị trấn Thường Tín,79,5915 
10186,Xã Ninh Sở,493,7647 
10189,Xã Nhị Khê,281,5582 
10192,Xã Duyên Thái,404,8603 
10195,Xã Khánh Hà,481,8461 
10198,Xã Hòa Bình,392,5196 
10201,Xã Văn Bình,523,8223 
10204,Xã Hiền Giang,321,4110 
10207,Xã Hồng Vân,449,4204 
10210,Xã Vân Tảo,514,8660 
10213,Xã Liên Phương,270,6482 
10216,Xã Văn Phú,324,5974 
10219,Xã Tự Nhiên,613,7826 
10222,Xã Tiền Phong,481,7199 
10225,Xã Hà Hồi,398,8089 
10228,Xã Thư Phú,251,4959 
10231,Xã Nguyễn Trãi,600,7513 
10234,Xã Quất Động,483,6228 
10237,Xã Chương Dương,416,4214 
10240,Xã Tân Minh,623,6929 
10243,Xã Lê Lợi,506,6331 
10246,Xã Thắng Lợi,598,7513 
10249,Xã Dũng Tiến,620,6999 
10252,Xã Thống Nhất,495,6258 
10255,Xã Nghiêm Xuyên,571,4958 
10258,Xã Tô Hiệu,557,9438 
10261,Xã Văn Tự,515,7097 
10264,Xã Vạn Điểm,307,5462 
10267,Xã Minh Cường,472,7892 
